192.168.1.189
192.168.1.207
192.168.1.189
192.168.1.164
192.168.1.154
CacheNum: 10000 virtualNum: 100
real cache num: 10000
is actived ? true
798 192.168.1.196 0 40
799 192.168.1.202 0 73
800 192.168.1.202 1 73
801 192.168.1.202 2 73
802 192.168.1.150 0 5
803 192.168.1.150 1 5
804 192.168.1.150 2 5
805 192.168.1.150 3 5
806 192.168.1.150 4 5
807 192.168.1.203 0 49
808 192.168.1.203 1 49
809 192.168.1.203 2 49
810 192.168.1.200 0 30
811 192.168.1.149 0 57
812 192.168.1.190 0 34
813 192.168.1.163 0 68
814 192.168.1.198 0 58
815 192.168.1.198 1 58
816 192.168.1.198 2 58
817 192.168.1.198 3 58
818 192.168.1.198 4 58
819 192.168.1.198 5 58
820 192.168.1.117 0 34
821 192.168.1.117 1 34
822 192.168.1.117 2 34
823 192.168.1.150 0 94
824 192.168.1.163 0 84
825 192.168.1.191 0 88
826 192.168.1.191 1 88
827 192.168.1.191 2 88
828 192.168.1.191 3 88
829 192.168.1.191 4 88
830 192.168.1.191 5 88
831 192.168.1.191 6 88
832 192.168.1.136 0 98
833 192.168.1.136 1 98
834 192.168.1.136 2 98
835 192.168.1.136 3 98
836 192.168.1.136 4 98
837 192.168.1.136 5 98
838 192.168.1.190 0 94
839 192.168.1.190 1 94
840 192.168.1.190 2 94
841 192.168.1.190 3 94
842 192.168.1.190 4 94
843 192.168.1.207 0 45
844 192.168.1.207 1 45
845 192.168.1.207 2 45
846 192.168.1.204 0 49
847 192.168.1.149 0 76
848 192.168.1.149 1 76
849 192.168.1.149 2 76
850 192.168.1.149 3 76
851 192.168.1.149 4 76
852 192.168.1.149 5 76
853 192.168.1.149 6 76
854 192.168.1.190 0 37
855 192.168.1.190 1 37
856 192.168.1.190 2 37
857 192.168.1.199 0 78
858 192.168.1.158 0 69
859 192.168.1.158 1 69
860 192.168.1.201 0 61
861 192.168.1.201 0 84
862 192.168.1.201 1 84
863 192.168.1.201 2 84
864 192.168.1.201 3 84
865 192.168.1.201 4 84
866 192.168.1.203 0 50
867 192.168.1.203 1 50
868 192.168.1.202 0 36
869 192.168.1.202 1 36
870 192.168.1.202 2 36
871 192.168.1.202 3 36
872 192.168.1.202 4 36
873 192.168.1.158 0 2
874 192.168.1.158 1 2
875 192.168.1.158 2 2
876 192.168.1.192 0 71
877 192.168.1.196 0 11
878 192.168.1.196 1 11
879 192.168.1.196 2 11
880 192.168.1.196 3 11
881 192.168.1.196 4 11
882 192.168.1.195 0 60
883 192.168.1.195 1 60
884 192.168.1.195 2 60
885 192.168.1.195 3 60
886 192.168.1.195 4 60
887 192.168.1.195 5 60
888 192.168.1.195 6 60
889 192.168.1.202 0 98
890 192.168.1.197 0 92
891 192.168.1.197 1 92
892 192.168.1.197 2 92
893 192.168.1.194 0 63
894 192.168.1.194 1 63
895 192.168.1.194 2 63
896 192.168.1.194 3 63
897 192.168.1.194 4 63
898 192.168.1.194 5 63
899 192.168.1.194 6 63
900 192.168.1.203 0 79
901 192.168.1.203 1 79
